run,model,weights,epoch,val_f1,val_acc,train_loss,seed,lr,unfreeze_lr,weight_decay,batch_size,grad_accum_steps,freeze_backbone_epochs,epochs_planned,amp,random_augmentation,csv_path,val_base,test_base,val_samples,test_samples,inferred_fields
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,7,0.8680095299978341,0.8641975308641975,0.08875922530286037,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,8,0.8569353667392883,0.8518518518518519,0.08202642044545705,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,9,0.9037303251139729,0.9012345679012346,0.06375093689635164,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,10,0.8803091331826964,0.8765432098765432,0.058382996685826145,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep11_gtcsv_20260205,resnet50,dtd,11,0.9030635573845451,0.9012345679012346,0.05628490561729651,21,0.0001,1e-05,0.0001,8,1,1,11,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,1,0.5651978012075336,0.691358024691358,0.6178791283447052,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,2,0.8808259983426281,0.8888888888888888,0.5209928341558047,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,3,0.8905044909891718,0.8888888888888888,0.35682639340373956,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,4,0.9140382212277637,0.9135802469135802,0.25625347476046406,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,5,0.8680095299978341,0.8641975308641975,0.15887469192531622,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,6,0.844735361218275,0.8395061728395061,0.1149820339549739,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,7,0.8680095299978341,0.8641975308641975,0.08875922530286037,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,8,0.8569353667392883,0.8518518518518519,0.08202642044545705,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,9,0.9037303251139729,0.9012345679012346,0.06375093689635164,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,10,0.8803091331826964,0.8765432098765432,0.058382996685826145,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,11,0.9030635573845451,0.9012345679012346,0.05628490561729651,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,12,0.8803091331826964,0.8765432098765432,0.04895892602934087,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,13,0.8913433399414707,0.8888888888888888,0.053356155579056694,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,14,0.892007797270955,0.8888888888888888,0.043934898050588984,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze1_20260205,resnet50,dtd,15,0.9266770266770266,0.9259259259259259,0.032917316515590545,21,0.0001,1e-05,0.0001,8,1,1,15,False,False,ground_truth.csv,81,81,81,81,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,1,0.5689175569441643,0.6942148760330579,0.6257681668638998,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,2,0.6058852328444805,0.7107438016528925,0.5888258970543905,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,3,0.6058852328444805,0.7107438016528925,0.5663005519617772,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,4,0.6714062335509954,0.743801652892562,0.5449345939637714,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,5,0.829449870142992,0.8429752066115702,0.5225392785821324,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,6,0.8745014672637828,0.8760330578512396,0.4698565329307716,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,7,0.8936782226038426,0.8925619834710744,0.32678047341655236,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,8,0.8912346049619451,0.8925619834710744,0.21581664658260197,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,9,0.9179449420125042,0.9173553719008265,0.15123771096277014,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,10,0.9021599243328734,0.9008264462809917,0.11110127644257078,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,11,0.9087372058921057,0.9090909090909091,0.08063634606672113,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,12,0.9100354191263282,0.9090909090909091,0.07337416232307188,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,13,0.9105734678461245,0.9090909090909091,0.07912803407827998,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,14,0.9173553719008265,0.9173553719008265,0.04467876086845809,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep15_freeze5_val15_test5_20260205,resnet50,dtd,15,0.9253304411844502,0.9256198347107438,0.038354646184222414,21,0.0001,1e-05,0.0001,8,1,5,15,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,1,0.5689175569441643,0.6942148760330579,0.6257681668638998,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,2,0.6058852328444805,0.7107438016528925,0.5888258970543905,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,3,0.6058852328444805,0.7107438016528925,0.5663005519617772,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,4,0.6714062335509954,0.743801652892562,0.5449345939637714,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,5,0.829449870142992,0.8429752066115702,0.5225392785821324,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,6,0.8745014672637828,0.8760330578512396,0.4698565329307716,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,7,0.8936782226038426,0.8925619834710744,0.32678047341655236,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,8,0.8912346049619451,0.8925619834710744,0.21581664658260197,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
dtd_resnet50_seed21_ep20_freeze5_val15_test5_20260205,resnet50,dtd,9,0.9179449420125042,0.9173553719008265,0.15123771096277014,21,0.0001,1e-05,0.0001,8,1,5,20,False,False,ground_truth.csv,121,40,121,40,seed
